ChEMBL ID,Type,Molecular Weight,Molecular Formula,Smiles
CHEMBL4450911,,303.19,C15H18BNO3S,C[C@H](CS)C(=O)N[C@H](B(O)O)c1ccc2ccccc2c1
CHEMBL4444926,,303.19,C15H18BNO3S,C[C@H](CS)C(=O)N[C@@H](B(O)O)c1ccc2ccccc2c1
CHEMBL4439726,,307.18,C14H18BNO4S,C[C@H](CS)C(=O)N[C@@H](Cc1coc2ccccc12)B(O)O
CHEMBL4460127,,307.18,C14H18BNO4S,C[C@H](CS)C(=O)N[C@H](Cc1coc2ccccc12)B(O)O
CHEMBL253224,Small molecule,311.4,C15H21NO4S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O
CHEMBL405232,Small molecule,313.33,C15H24NO4P,CC(C)C[C@@H](N)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O
CHEMBL258333,Small molecule,315.39,C17H17NO3S,O=C(CS)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL257727,Small molecule,329.42,C18H19NO3S,C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL4451026,,343.26,C18H22BNO3S,O=C(N[C@@H](Cc1ccccc1)B(O)O)C(CS)Cc1ccccc1
CHEMBL257726,Small molecule,343.45,C19H21NO3S,CC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL404044,Small molecule,343.45,C19H21NO3S,CC(C)(S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL253428,Small molecule,345.46,C19H23NO3S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O
CHEMBL400527,Small molecule,345.46,C19H23NO3S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)O
CHEMBL412123,Small molecule,347.35,C18H22NO4P,N[C@H](Cc1ccccc1)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O
CHEMBL409713,Small molecule,355.33,C16H22NO6P,C[C@H](CP(=O)(O)[C@H]1CCCN1C(=O)OCc1ccccc1)C(=O)O
CHEMBL269997,Small molecule,357.48,C20H23NO3S,CC(C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL257229,Small molecule,369.49,C21H23NO3S,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCC1
CHEMBL269996,Small molecule,371.5,C21H25NO3S,CC[C@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL271225,Small molecule,371.5,C21H25NO3S,CC(C)C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL401397,Small molecule,371.5,C21H25NO3S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(-c2ccccc2)c1)C(=O)O
CHEMBL257270,Small molecule,371.5,C21H25NO3S,CCCC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL398545,Small molecule,371.5,C21H25NO3S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1-c1ccccc1)C(=O)O
CHEMBL252391,Small molecule,371.5,C21H25NO3S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL252417,Small molecule,375.84,C17H14ClN3O3S,Cc1nnc(S/C(=C/c2ccc(-c3cc(Cl)ccc3C)o2)C(=O)O)[nH]1
CHEMBL404117,Small molecule,383.51,C22H25NO3S,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)C1CCCC1
CHEMBL271223,Small molecule,385.53,C22H27NO3S,CC(C)(C)C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O
CHEMBL252003,Small molecule,387.5,C21H25NO4S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(Oc2ccccc2)c1)C(=O)O
CHEMBL254282,Small molecule,387.5,C21H25NO4S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(Oc2ccccc2)cc1)C(=O)O
CHEMBL251804,Small molecule,387.5,C21H25NO4S,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(=O)O
CHEMBL437595,Small molecule,391.49,C23H21NO3S,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](S)c1ccccc1
